0,QU EST CE QUE NOURRITURE PRÉFÉRÉE,*,*,le cerveau des enfants.,learnf.aiml
0,QU EST CE QUE LA NOURRITURE PRÉFÉRÉE,*,*,le cerveau des enfants.,learnf.aiml
0,QU EST CE QUE LE CERVEAU DES ENFANTS,*,*,Cela peut être la nourriture préférée par exemple.,learnf.aiml
0,# EST CE QUE LA NOURRITURE PRÉFÉRÉE EST LE CERVEAU DES ENFANTS,*,*,Oui#Comma <random><li>bien sûre</li><li>évidement</li><li>je pense</li></random>.,learnf.aiml
0,QU EST CE QUE J AI FAILLI LES,*,*,afficher d accord.,learnf.aiml
0,QU EST CE QUE AFFICHER D ACCORD,*,*,Cela peut être j ai failli les par exemple.,learnf.aiml
0,# EST CE QUE J AI FAILLI LES EST AFFICHER D ACCORD,*,*,Oui#Comma <random><li>bien sûre</li><li>évidement</li><li>je pense</li></random>.,learnf.aiml
0,QU EST CE QUE TU ATTENDS,*,*,vie aléatoire.,learnf.aiml
0,QU EST CE QUE VIE ALÉATOIRE,*,*,Cela peut être tu attends par exemple.,learnf.aiml
0,# EST CE QUE TU ATTENDS EST VIE ALÉATOIRE,*,*,Oui#Comma <random><li>bien sûre</li><li>évidement</li><li>je pense</li></random>.,learnf.aiml
